"","filename","frame","time_hms","period","period_time_hms","length_mm","precision_mm","rms_mm","range_mm","direction_deg","horz_dir_deg","vert_dir_deg","mid_x_mm","mid_y_mm","mid_z_mm","op_code","tape_reader","depth","comment","year","dive","transect_number","dive_type","family","genus","species","code","number","stage","activity","check_id","comment_1","event_time_hh_mm_ss","mgmt_area","time_mins","period_time_mins","rms_2_mm","time_akdt","dive_no","transect_no"
"42","2012_6736_2_SL.avi","25915",NA,NA,NA,NA,25,6.236,"3174.596","28.011",NA,NA,"-1333.188","606.484","-2816.531","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","yelloweye","145","145","13","AD","Fish milling",NA,"no length, can't see tail",NA,"CSEO","30.8613",NA,NA,NA,"6736","2"
"43","2012_6736_2_SL.avi","29102",NA,NA,NA,NA,37,7.648,"4533.841","15.938",NA,NA,"794.239","864.045","-4379.306","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","14",NA,NA,NA,NA,NA,"CSEO","32.6336",NA,NA,NA,"6736","2"
"44","2012_6736_2_SL.avi","33367",NA,NA,NA,NA,31,12.167,"3659.749","29.848",NA,NA,"1360.843","1141.635","-3199.771","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","15",NA,NA,NA,NA,NA,"CSEO","35.0055",NA,NA,NA,"6736","2"
"45","2012_6736_2_SL.avi","33872",NA,NA,NA,NA,51,8.987,"5104.903","23.716",NA,NA,"-928.937","1729.327","-4712.381","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","silvergray","157","157","16",NA,NA,NA,NA,NA,"CSEO","35.2863",NA,NA,NA,"6736","2"
"46","2012_6736_2_SL.avi","34470",NA,NA,NA,NA,63,1.774,"5671.843","23.789",NA,NA,"-995.86","1946.791","-5233.361","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish",NA,NA,NA,"17",NA,NA,NA,NA,NA,"CSEO","35.6188",NA,NA,NA,"6736","2"
"47","2012_6736_2_SL.avi","34660",NA,NA,NA,NA,34,4.444,"4341.743","15.147",NA,NA,"813.563","699.661","-4207.056","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","tiger","148","148","18",NA,NA,NA,NA,NA,"CSEO","35.7245",NA,NA,NA,"6736","2"
"48","2012_6736_2_SL.avi","36314",NA,NA,NA,NA,28,1.405,"3668.738","22.077",NA,NA,"1378.792","-54.753","-3399.348","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","19",NA,NA,NA,NA,NA,"CSEO","36.6443",NA,NA,NA,"6736","2"
"49","2012_6736_2_SL.avi","38161",NA,NA,NA,NA,60,2.893,"4947.857","27.361",NA,NA,"-2104.11","766.956","-4412.005","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","silvergray","157","157","20",NA,NA,NA,NA,NA,"CSEO","37.6714",NA,NA,NA,"6736","2"
"50","2012_6736_2_SL.avi","41853",NA,NA,NA,NA,16,5.492,"3193.41","3.788",NA,NA,"-188.63","25.367","-3187.733","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","21",NA,NA,NA,NA,NA,"CSEO","39.7246",NA,NA,NA,"6736","2"
"51","2012_6736_2_SL.avi","42154",NA,NA,NA,NA,25,0.525,"3486.708","21.163",NA,NA,"-1119.128","505.673","-3263.277","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","silvergray","157","157","22",NA,NA,NA,NA,NA,"CSEO","39.892",NA,NA,NA,"6736","2"
"52","2012_6736_2_SL.avi","43072",NA,NA,NA,NA,34,5.453,"3983.412","25.386",NA,NA,"1702.812","51.593","-3600.741","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","23",NA,NA,NA,NA,NA,"CSEO","40.4025",NA,NA,NA,"6736","2"
"53","2012_6736_2_SL.avi","43375",NA,NA,NA,NA,27,4.208,"3926.723","15.56",NA,NA,"-457.02","866.859","-3802.479","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","quillback","147","147","24",NA,NA,NA,NA,NA,"CSEO","40.571",NA,NA,NA,"6736","2"
"54","2012_6738_1_SL.avi","7070",NA,NA,NA,NA,8,1.966,"1976.298","15.829",NA,NA,"27.45","-579.452","-1889.242","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","rosethorn","150","150","1",NA,NA,NA,NA,NA,"CSEO","20.3814",NA,NA,NA,"6738","1"
"55","2012_6738_1_SL.avi","7070",NA,NA,NA,NA,10,4.182,"2350.741","9.72",NA,NA,"350.768","-235.833","-2312.429","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","rosethorn","150","150","2",NA,NA,NA,NA,NA,"CSEO","20.3814",NA,NA,NA,"6738","1"
"56","2012_6738_1_SL.avi","7681",NA,NA,NA,474.441,26,2.818,"3942.369","8.926","13.57",5.927,"611.706","-87.242","-3893.646","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","yelloweye","145","145","3","AD","Fish milling",NA,NA,NA,"CSEO","20.7212",NA,"2.511",NA,"6738","1"
"57","2012_6738_1_SL.avi","7464",NA,NA,NA,NA,68,8.132,"6196.622","16.711",NA,NA,"-699.199","1509.92","-5969.036","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","yelloweye","145","145","3","AD","Fish milling",NA,NA,NA,"CSEO","20.6005",NA,NA,NA,"6738","1"
"58","2012_6738_1_SL.avi","9216",NA,NA,NA,NA,24,2.542,"3513.036","23.043",NA,NA,"599.55","1167.142","-3258.794","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","silvergray","157","157","4",NA,NA,NA,NA,NA,"CSEO","21.5748",NA,NA,NA,"6738","1"
"59","2012_6738_1_SL.avi","9591",NA,NA,NA,NA,37,11.34,"4412.565","18.418",NA,NA,"-944.392","934.62","-4207.771","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","rosethorn","150","150","5",NA,NA,NA,NA,NA,"CSEO","21.7834",NA,NA,NA,"6738","1"
"60","2012_6738_1_SL.avi","9976",NA,NA,NA,NA,17,0.664,"3081.944","12.825",NA,NA,"667.75","-213.806","-3001.129","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","rosethorn","150","150","6",NA,NA,NA,NA,NA,"CSEO","21.9975",NA,NA,NA,"6738","1"
"61","2012_6738_1_SL.avi","9988",NA,NA,NA,NA,35,7.564,"4126.815","22.555",NA,NA,"1499.809","423.461","-3821.238","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","yelloweye","145","145","7","AD","Fish moving slowly into frame",NA,NA,NA,"CSEO","22.0042",NA,NA,NA,"6738","1"
"62","2012_6738_1_SL.avi","10053",NA,NA,NA,598.588,19,1.699,"2504.904","15.343","28.377",5.921,"482.437","-506.702","-2405.213","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","yelloweye","145","145","7","AD","Fish moving slowly into frame",NA,NA,NA,"CSEO","22.0403",NA,"7.796",NA,"6738","1"
"63","2012_6738_1_SL.avi","10414",NA,NA,NA,NA,118,1.542,"7237.164","24.514",NA,NA,"-2875.254","723.061","-6602.018","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","tiger","148","148","8",NA,NA,NA,NA,NA,"CSEO","22.2411",NA,NA,NA,"6738","1"
"64","2012_6738_1_SL.avi","15715",NA,NA,NA,NA,20,7.594,"3511.292","1.473",NA,NA,"-72.259","-130.151","-3508.135","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","rosethorn","150","150","9",NA,NA,NA,NA,NA,"CSEO","25.189",NA,NA,NA,"6738","1"
"65","2012_6738_1_SL.avi","15992",NA,NA,NA,NA,13,0.25,"2404.723","23.854",NA,NA,"967.144","53.96","-2201.003","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","dusky","172","172","10",NA,NA,NA,NA,NA,"CSEO","25.343",NA,NA,NA,"6738","1"
"66","2012_6738_1_SL.avi","22821",NA,NA,NA,NA,18,5.004,"2738.767","26.339",NA,NA,"-1213.619","7.786","-2455.181","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","rosethorn","150","150","27",NA,NA,NA,NA,NA,"CSEO","29.1407",NA,NA,NA,"6738","1"
"67","2012_6738_1_SL.avi","24198",NA,NA,NA,559.696,49,5.57,"3900.313","27.469","12.014",19.787,"-1625.074","696.732","-3476.513","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","yelloweye","145","145","28","AD","Fish actively swimming within frame",NA,"RMS high 1st site-took 3D later",NA,"CSEO","29.9065",NA,"5.403",NA,"6738","1"
"68","2012_6738_1_SL.avi","24136",NA,NA,NA,NA,53,4.637,"4685.797","28.792",NA,NA,"-1757.957","1325.856","-4136.229","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","yelloweye","145","145","28","AD","Fish actively swimming within frame",NA,"RMS high 1st site-took 3D later",NA,"CSEO","29.872",NA,NA,NA,"6738","1"
"69","2012_6738_1_SL.avi","24168",NA,NA,NA,NA,28,3.476,"3823.35","19.019",NA,NA,"716.34","940.912","-3635.869","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","rosethorn","150","150","29",NA,NA,NA,NA,NA,"CSEO","29.8898",NA,NA,NA,"6738","1"
"70","2012_6738_1_SL.avi","24565",NA,NA,NA,NA,20,0.335,"2964.093","24.818",NA,NA,"-1240.464","-153.791","-2687.647","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","rosethorn","150","150","30",NA,NA,NA,NA,NA,"CSEO","30.1106",NA,NA,NA,"6738","1"
"71","2012_6738_1_SL.avi","25019",NA,NA,NA,NA,46,5.334,"4756.047","22.658",NA,NA,"1245.046","1248.755","-4417.065","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","yelloweye","145","145","31","AD","Fish actively swimming within frame",NA,NA,NA,"CSEO","30.363",NA,NA,NA,"6738","1"
"72","2012_6738_1_SL.avi","25062",NA,NA,NA,460.226,59,5.603,"4011.222","23.733","33.32",8.951,"1385.986","748.085","-3689.08","1","Jenny Stahl","0",NA,"2012","6738","1","Line","rockfish","yelloweye","145","145","31","AD","Fish actively swimming within frame",NA,NA,NA,"CSEO","30.387",NA,"3.61",NA,"6738","1"
