Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Start_End,Comment,Event Time HH:MM:SS
SL_2018SSEO_Dive_15_17-11-22.000.avi,191,17:11:30,61890,,,528,840,QC,amy,,,2018,15,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,17:11:30
SL_2018SSEO_Dive_15_17-11-22.000.avi,33948,17:30:16,63016,,,547,799,QC,amy,,,2018,15,,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,can see in belly,17:30:16
SL_2018SSEO_Dive_15_17-11-22.000.avi,34449,17:30:32,63032,,,551,799,QC,amy,,,2018,15,,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,17:30:32
SL_2018SSEO_Dive_15_17-11-22.000.avi,62621,17:46:11,63971,,,371,848,QC,amy,,,2018,15,,,,,,,Bad,loitering in same area,BLA,BLA,4,AD,Passing,,,17:46:11
SL_2018SSEO_Dive_15_17-11-22.000.avi,62830,17:46:18,63978,,,261,441,QC,amy,,,2018,15,,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,,17:46:18
SL_2018SSEO_Dive_15_17-11-22.000.avi,75123,17:53:08,64388,,,381,773,QC,amy,,,2018,15,,,,,,,Good,Good Going Forward,GGF,GGF,6,AD,Passing,END,,17:53:08
SL_2018SSEO_Dive_16_19-03-14.000.avi,211,19:03:22,68602,,,551,799,QC,amy,,,2018,16,,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,START,,19:03:22
SL_2018SSEO_Dive_16_19-03-14.000.avi,39348,19:25:07,69907,,,551,799,QC,amy,,,2018,16,,,,,,,Bad,loitering in same area,BLA,BLA,2,AD,Passing,,,19:25:07
SL_2018SSEO_Dive_16_19-03-14.000.avi,39609,19:25:15,69915,,,401,620,QC,amy,,,2018,16,,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,
SL_2018SSEO_Dive_16_19-03-14.000.avi,46522,19:29:06,70146,,,603,864,QC,amy,,,2018,16,,,,,,,Bad,loitering in same area,BLA,BLA,4,AD,Passing,,,19:29:06
SL_2018SSEO_Dive_16_19-03-14.000.avi,46868,19:29:17,70157,,,372,628,QC,amy,,,2018,16,,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,,
SL_2018SSEO_Dive_16_19-03-14.000.avi,49105,19:30:32,70232,,,571,811,QC,amy,,,2018,16,,,,,,,Bad,loitering in same area,BLA,BLA,6,AD,Passing,,,
SL_2018SSEO_Dive_16_19-03-14.000.avi,49417,19:30:42,70242,,,551,799,QC,amy,,,2018,16,,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,,,19:30:42
SL_2018SSEO_Dive_16_19-03-14.000.avi,64041,19:38:50,70730,,,363,625,QC,amy,,,2018,16,,,,,,,Bad,loitering in same area,BLA,BLA,8,AD,Passing,,,19:38:50
SL_2018SSEO_Dive_16_19-03-14.000.avi,64588,19:39:08,70748,,,450,606,QC,amy,,,2018,16,,,,,,,Good,Good Going Forward,GGF,GGF,9,AD,Passing,,,
SL_2018SSEO_Dive_16_19-03-14.000.avi,65704,19:39:45,70785,,,683,512,QC,amy,,,2018,16,,,,,,,Good,Good Going Forward,GGF,GGF,10,AD,Passing,,can see in belly,19:39:45
SL_2018SSEO_Dive_16_19-03-14.000.avi,66719,19:40:19,70819,,,404,662,QC,amy,,,2018,16,,,,,,,Good,Good Going Forward,GGF,GGF,11,AD,Passing,,,
SL_2018SSEO_Dive_16_19-03-14.000.avi,71575,19:43:01,70981,,,521,709,QC,amy,,,2018,16,,,,,,,Bad,loitering in same area,BLA,BLA,12,AD,Passing,,,19:43:01
SL_2018SSEO_Dive_16_19-03-14.000.avi,71884,19:43:11,70991,,,598,656,QC,amy,,,2018,16,,,,,,,Good,Good Going Forward,GGF,GGF,13,AD,Passing,,,
