"","Time","dive_number","Transect.No","Length..mm.","Precision..mm.","Genus","Species","Code","Stage","Activity","Dive_Id","Date","Temperature"
"157",06:55:09,"13",1,NA,30.307,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"158",06:55:15,"13",1,NA,69.728,"dusky",172,172,NA,NA,"eykt_13","5/12/2017",NA
"159",06:55:53,"13",1,NA,142.591,"yelloweye",145,145,"AD","Fish milling/hovering","eykt_13","5/12/2017",NA
"160",06:56:09,"13",1,NA,63.258,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"161",06:56:42,"13",1,NA,50.528,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"162",06:57:01,"13",1,NA,70.253,"yelloweye",145,145,"AD","Fish seeking cover","eykt_13","5/12/2017",NA
"163",06:57:05,"13",1,NA,71.301,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"164",06:57:05,"13",1,533.552,39.488,"yelloweye",145,145,"AD",NA,"eykt_13","5/12/2017",NA
"165",06:57:12,"13",1,NA,58.367,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"166",06:57:15,"13",1,NA,47.567,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"167",06:57:40,"13",1,NA,98.161,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"168",06:58:05,"13",1,NA,55.547,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"169",06:58:20,"13",1,NA,27.01,"dusky",172,172,NA,NA,"eykt_13","5/12/2017",NA
"170",06:58:20,"13",1,NA,50.994,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"171",06:58:43,"13",1,NA,67.789,"dusky",172,172,NA,NA,"eykt_13","5/12/2017",NA
"172",06:58:52,"13",1,NA,47.192,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"173",06:59:39,"13",1,NA,45.938,"lingcod",130,130,NA,NA,"eykt_13","5/12/2017",NA
"174",07:00:18,"13",1,NA,48.9,"dusky",172,172,NA,NA,"eykt_13","5/12/2017",NA
"175",07:00:24,"13",1,NA,33.685,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"176",07:00:24,"13",1,NA,50.942,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"177",07:00:36,"13",1,NA,56.265,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"178",07:00:53,"13",1,NA,25.195,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"179",07:00:57,"13",1,NA,75.664,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"180",07:01:02,"13",1,NA,39.557,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"181",07:01:14,"13",1,NA,55.284,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"182",07:01:31,"13",1,NA,40.184,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"183",07:02:05,"13",1,NA,40.642,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"184",07:02:05,"13",1,NA,57.138,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"185",07:02:39,"13",1,NA,32.016,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"186",07:03:06,"13",1,NA,21.225,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"187",07:03:37,"13",1,NA,90.864,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"188",07:04:08,"13",1,NA,47.824,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"189",07:04:27,"13",1,NA,29.02,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"190",07:04:43,"13",1,NA,32.514,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"191",07:04:52,"13",1,NA,63.205,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"192",07:05:09,"13",1,NA,91.248,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"193",07:05:12,"13",1,NA,41.493,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"194",07:05:20,"13",1,NA,31.629,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"195",07:05:22,"13",1,NA,65.407,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"196",07:06:00,"13",1,NA,82.094,"tiger",148,148,NA,NA,"eykt_13","5/12/2017",NA
"197",07:06:58,"13",1,NA,33.761,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"198",07:07:13,"13",1,NA,55.008,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"199",07:08:03,"13",1,NA,51.891,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"200",07:08:04,"13",1,NA,52.008,"yelloweye",145,145,"AD","Fish actively swimming in frame","eykt_13","5/12/2017",NA
"201",07:08:07,"13",1,504.703,31.48,"yelloweye",145,145,"AD",NA,"eykt_13","5/12/2017",NA
"202",07:08:39,"13",1,NA,37.306,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"203",07:08:49,"13",1,NA,35.097,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"204",07:08:53,"13",1,NA,43.056,"lingcod",130,130,NA,NA,"eykt_13","5/12/2017",NA
"205",07:08:55,"13",1,NA,111.593,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"206",07:09:06,"13",1,NA,85.787,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"207",07:09:23,"13",1,NA,39.568,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"208",07:09:23,"13",1,NA,90.833,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"209",07:09:44,"13",1,NA,83.654,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"210",07:09:54,"13",1,NA,71.46,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"211",07:13:02,"13",1,NA,34.873,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"212",06:36:25,"13",1,NA,19.901,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"213",06:45:24,"13",1,NA,287.822,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"214",06:45:46,"13",1,NA,27.601,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"215",06:48:19,"13",1,NA,26.868,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"216",06:52:47,"13",1,NA,37.012,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"217",06:54:05,"13",1,NA,28.268,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"218",06:56:36,"13",1,NA,29.288,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"219",06:56:46,"13",1,NA,39.542,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"220",07:00:16,"13",1,NA,24.483,"tiger",148,148,NA,NA,"eykt_13","5/12/2017",NA
"221",07:00:24,"13",1,NA,41.4,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"222",07:02:17,"13",1,NA,21.894,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"223",07:06:06,"13",1,NA,50.974,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"224",06:36:31,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"225",06:44:23,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"226",06:44:50,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"227",06:50:46,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"228",06:54:24,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"229",06:58:34,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"230",06:59:08,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"231",06:59:15,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"232",07:01:24,"13",1,NA,NA,"tiger",148,148,NA,NA,"eykt_13","5/12/2017",NA
"233",07:01:48,"13",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_13","5/12/2017",NA
"234",07:10:00,"13",1,NA,NA,"yelloweye",145,145,"AD","moving slowly into frame","eykt_13","5/12/2017",NA
"235",07:55:42,"14",1,NA,89.124,"rosethorn",150,150,NA,NA,"eykt_14","5/12/2017",NA
"236",07:56:15,"14",1,NA,103.036,"rosethorn",150,150,NA,NA,"eykt_14","5/12/2017",NA
"237",07:58:06,"14",1,NA,46.07,"rosethorn",150,150,NA,NA,"eykt_14","5/12/2017",NA
"238",07:58:25,"14",1,NA,52.414,"rosethorn",150,150,NA,NA,"eykt_14","5/12/2017",NA
"239",07:58:56,"14",1,NA,44.496,"rosethorn",150,150,NA,NA,"eykt_14","5/12/2017",NA
"240",07:59:43,"14",1,NA,35.008,"yelloweye",145,145,"AD","Fish milling/hovering","eykt_14","5/12/2017",NA
"241",08:00:16,"14",1,NA,48.145,"dusky",172,172,NA,NA,"eykt_14","5/12/2017",NA
"242",08:00:25,"14",1,NA,23.001,"dusky",172,172,NA,NA,"eykt_14","5/12/2017",NA
"243",08:04:02,"14",1,NA,39.49,"rosethorn",150,150,NA,NA,"eykt_14","5/12/2017",NA
"244",08:04:11,"14",1,NA,147.314,"dusky",172,172,NA,NA,"eykt_14","5/12/2017",NA
"245",08:04:16,"14",1,NA,26.192,"silvergray",157,157,NA,NA,"eykt_14","5/12/2017",NA
