FILENAME,FRAME,TIME (HMS),LENGTH (MM),PRECISION (MM),RMS (MM),RANGE (MM),DIRECTION (DEG),HORZ_DIR (DEG),VERT_DIR (DEG),MID_X (MM),MID_Y (MM),MID_Z (MM),OPCODE,TAPEREADER,DEPTH,COMMENT,YEAR,DIVE,DIVE_NO,TRANSECT_NUMBER,FAMILY,GENUS,SPECIES,CODE,NUMBER,STAGE,ACTIVITY,CHECK_ID,COMMENT
SL_2018CSEO_Dive_10_10-11-03.000.avi,39285,32:54.5,,49.532,0.02,5169.173,10.785,,,352.686,875.143,-5082.331,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,24,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,40706,33:41.8,,60.736,0.954,5456.822,29.411,,,2447.223,1067.822,-4758.966,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,25,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,42697,34:48.2,,45.305,2.461,4816.917,30.461,,,-2251.955,923.43,-4156.762,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,26,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,42697,34:48.2,,63.643,1.499,5562.903,19.673,,,-1023.593,1541.911,-5246.013,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,27,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,42975,34:57.5,,107.447,3.235,7168.33,30.273,,,2816.646,2232.721,-6202.13,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,28,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,43398,35:11.6,,24.003,2.953,3447.355,29.83,,,1586.737,635.234,-2993.827,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,29,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,45891,36:34.7,601.782,189.736,3.089,6471.204,27.082,63.447,21.525,2929.478,-312.944,-5761.659,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yelloweye,145,145,30,AD,Fish moving quickly out of frame,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,48727,38:09.2,,29.206,3.16,3790.8,29.673,,,1718.656,737.067,-3297.441,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,dusky,172,172,31,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,48884,38:14.4,,7.98,2.327,2075.531,7.939,,,280.955,-67.222,-2055.329,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,dusky,172,172,32,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,50647,39:13.2,377.972,58.59,1.454,5415.295,18.776,1.061,10.82,-1737.488,-138.952,-5127.109,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,black,142,142,33,,,,
