Filename,Year,Management_Area,Frame,Time_UTC,TIME_AK,Seconds,Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Start/End,Comment,Event Time HH:MM:SS
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,38090,22:29:27,14:29:27,52167,,,606,924,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,head shake,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,37094,22:28:54,14:28:54,52134,,,610,1074,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,36800,22:28:44,14:28:44,52124,,,799,923,QC,Asia,0,,2016,6,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,halibut,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,36323,22:28:28,14:28:28,52108,,,401,866,QC,Asia,0,,2016,6,1,,,,,,Bad,going backwards,BGB,BGB,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,35357,22:27:56,14:27:56,52076,,,499,892,QC,Asia,0,,2016,6,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,34891,22:27:40,14:27:40,52060,,,482,802,QC,Asia,0,,2016,6,1,,,,,,Bad,going backwards,BGB,BGB,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,30819,22:25:25,14:25:25,51925,,,656,823,QC,Asia,0,,2016,6,1,,,,,,Bad,resting on bottom,BRB,BRB,,AD,Passing,,head shake before resting,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,27276,22:23:27,14:23:27,51807,,,641,768,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,head shake,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,26995,22:23:17,14:23:17,51797,,,513,818,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,18010,22:18:18,14:18:18,51498,,,551,799,QC,Asia,0,,2016,6,1,,,,,,Bad,resting on bottom,BRB,BRB,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,17523,22:18:02,14:18:01,51481,,,551,799,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,17259,22:17:53,14:17:53,51473,,,551,799,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,BPV in SL but not in belly,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,16105,22:17:14,14:17:14,51434,,,737,799,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,15926,22:17:08,14:17:08,51428,,,670,908,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,15760,22:17:03,14:17:03,51423,,,638,877,QC,Asia,0,,2016,6,1,,,,,,Bad,bottom stir-up,BBS,BBS,,AD,Passing,,BBS both cameras,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,15706,22:17:01,14:17:01,51421,,,572,870,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,head shake,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,15531,22:16:55,14:16:55,51415,,,544,841,QC,Asia,0,,2016,6,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,9605,22:13:38,14:13:38,51218,,,544,796,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,head shake,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,8597,22:13:04,14:13:04,51184,,,691,834,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,5976,22:11:37,14:11:37,51097,,,559,720,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,5537,22:11:22,14:11:22,51082,,,551,796,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,4348,22:10:42,14:10:42,51042,,,640,794,QC,Asia,0,,2016,6,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,head shake,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,159,22:08:23,14:08:23,50903,,,551,799,QC,Asia,0,,2016,6,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,,22:11:28,14:11:28,51088,,,,,QC,Asia,0,,2016,6,1,,,,,,Bad,lost bottom visual,BLB,BLB,,AD,Passing,,BLB both cameras,
SL_2016NSEO_Dive_06_14-08-11.000.avi,2016,NSEO ,,22:12:14,14:12:14,51134,,,,,QC,Asia,0,,2016,6,1,,,,,,Bad,lost bottom visual,BLB,BLB,,AD,Passing,,BLB both cameras,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,113267,17:56:30,9:56:30,35790,,,551,799,QC,Asia,0,,2016,8,1,,,,,,Bad,lost bottom visual,BLB,BLB,,AD,Passing,End,no head shake,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,111152,17:55:20,9:55:20,35720,,,547,797,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,110346,17:54:53,9:54:53,35693,,,551,803,QC,Asia,0,,2016,8,1,,,,,,Bad,going backwards,BGB,BGB,,AD,Passing,,,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,110088,17:54:44,9:54:44,35684,,,553,795,QC,Asia,0,,2016,8,1,,,,,,Bad,resting on bottom,BRB,BRB,,AD,Passing,,,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,102610,17:50:35,9:50:35,35435,,,551,799,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,,head shake,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,101798,17:50:08,9:50:08,35408,,,532,808,QC,Asia,0,,2016,8,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,head shake,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,101291,17:49:51,9:49:51,35391,,,551,798,QC,Asia,0,,2016,8,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,92596,17:45:01,9:45:01,35101,,,551,798,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,92170,17:44:47,9:44:47,35087,,,610,990,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,73303,17:34:18,9:34:18,34458,,,551,799,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,73107,17:34:12,9:34:11,34451,,,806,844,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,67703,17:31:11,9:31:11,34271,,,551,799,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,67439,17:31:03,9:31:02,34262,,,557,796,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,50617,17:21:42,9:21:42,33702,,,547,687,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,49664,17:21:10,9:21:10,33670,,,551,795,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,48539,17:20:33,9:20:33,33633,,,551,799,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,47998,17:20:15,9:20:14,33614,,,551,796,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,47112,17:19:45,9:19:45,33585,,,580,782,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,45849,17:19:03,9:19:03,33543,,,572,836,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,44128,17:18:06,9:18:06,33486,,,551,799,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,43883,17:17:57,9:17:57,33477,,,528,736,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,38899,17:15:11,9:15:11,33311,,,574,806,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,38598,17:15:01,9:15:01,33301,,,691,917,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,35683,17:13:24,9:13:24,33204,,,579,799,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,35256,17:13:10,9:13:10,33190,,,605,865,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,26692,17:08:24,9:08:24,32904,,,729,1055,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,26577,17:08:21,9:08:20,32900,,,610,1033,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,10546,16:59:26,8:59:26,32366,,,665,835,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,10230,16:59:16,8:59:16,32356,,,685,790,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,9661,16:58:57,8:58:57,32337,,,633,841,QC,Asia,0,,2016,8,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,4912,16:56:18,8:56:18,32178,,,579,878,QC,Asia,0,,2016,8,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,head shake,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,3584,16:55:34,8:55:34,32134,,,604,817,QC,Asia,0,,2016,8,1,,,,,,Bad,loitering in same area,BLA,BLA,,AD,Passing,,,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,3383,16:55:27,8:55:27,32127,,,653,843,QC,Asia,0,,2016,8,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,head shake,
SL_2016NSEO_Dive_08_08-53-17.000.avi,2016,NSEO ,2881,16:55:11,8:55:11,32111,,,617,849,QC,Asia,0,,2016,8,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
