Filename,Frame,AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_33_16-37-42.838.avi,31276,16:55:18,0:55:18,,,675.418,20.457,2.382,2292.081,20.226,43.705,25.618,539.89,-580.077,-2150.736,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,40,,,,horiz angle > 30 ,
SL_FW_Dive_33_16-37-42.838.avi,32032,16:55:43,0:55:43,,,,18.3,5.589,3079.059,19.339,,,-1019.392,17.892,-2905.361,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,41,,,,,
SL_FW_Dive_33_16-37-42.838.avi,32196,16:55:48,0:55:48,,,,49.01,2.77,5232.874,9.725,,,-142.363,862.463,-5159.347,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,42,,,,,
SL_FW_Dive_33_16-37-42.838.avi,32894,16:56:11,0:56:11,,,,21.892,7.012,3334.602,21.074,,,1198.772,17.886,-3111.623,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,43,,,,no length fish curved,
SL_FW_Dive_33_16-37-42.838.avi,33542,16:56:33,0:56:33,,,,28.051,3.09,3768.251,22.899,,,1462.805,93.723,-3471.474,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,44,,,,,
SL_FW_Dive_33_16-37-42.838.avi,34474,16:57:04,0:57:04,,,,24.844,6.811,3516.169,21.123,,,-1210.135,369.419,-3280.632,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,45,,,,no length cant see whole fish ,
SL_FW_Dive_33_16-37-42.838.avi,35282,16:57:31,0:57:31,,,,11.008,3.021,2369.244,12.881,,,-400.037,-349.323,-2308.952,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,46,,,,,
SL_FW_Dive_33_16-37-42.838.avi,37224,16:58:36,0:58:36,,,,46.116,0.066,4781.326,27.2,,,-2031.101,798.766,-4254.137,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,47,,,,,
SL_FW_Dive_33_16-37-42.838.avi,37342,16:58:40,0:58:40,,,,7.127,7.8,1972.83,7.558,,,-56.34,-257.056,-1955.2,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,48,,,,,
SL_FW_Dive_33_16-37-42.838.avi,37343,16:58:40,0:58:40,,,761.384,7.369,5.263,2208.877,10.476,5.59,3.25,236.429,-324.665,-2172.057,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,48,,,,,
