Filename,Frame,Time_AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time H:MM:SS
SL_FW_Dive_03_17-52-02.051.avi,51103,18:21:06,2:21:06,,,,32.18,9.653,4224.618,7.947,,,321.425,479.595,-4184.981,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,61,,,,,
SL_FW_Dive_03_17-52-02.051.avi,51532,18:21:21,2:21:21,,,,28.215,9.654,3961.496,10.178,,,20.296,692.213,-3900.498,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,62,,,,,
SL_FW_Dive_03_17-52-02.051.avi,52794,18:22:03,2:22:03,,,,64.134,4.244,5822.284,13.762,,,377.296,1321.803,-5657.691,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,63,,,,,
SL_FW_Dive_03_17-52-02.051.avi,53420,18:22:24,2:22:24,,,,17.995,7.883,2906.211,22.193,,,769.238,-788.333,-2689.399,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,64,,,,,
SL_FW_Dive_03_17-52-02.051.avi,54872,18:23:12,2:23:12,,,,47.597,7.511,4925.81,13.69,,,750.284,883.06,-4787.576,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,65,,,,,
SL_FW_Dive_03_17-52-02.051.avi,55056,18:23:18,2:23:18,,,,58.422,6.046,5595.028,14.884,,,157.252,1418.089,-5410.049,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,66,,,,,
SL_FW_Dive_03_17-52-02.051.avi,55071,18:23:19,2:23:19,,,,163.094,1.847,9565.276,36.824,,,-4649.195,3339.79,-7663.243,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,yelloweye,145,145,67,AD,Fish moving slowly out of frame,,Not in RStereo. No length. For cam,
SL_FW_Dive_03_17-52-02.051.avi,55390,18:23:29,2:23:29,,,,48.043,1.596,4846.509,24.368,,,-1838.213,778.59,-4416.268,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,68,,,,,
SL_FW_Dive_03_17-52-02.051.avi,55709,18:23:40,2:23:40,,,,38.88,2.528,4496.751,12.48,,,860.978,442.095,-4391.359,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,69,,,,,
SL_FW_Dive_03_17-52-02.051.avi,56233,18:23:57,2:23:57,,,,38.488,3.332,4356.081,19.504,,,1385.978,432.856,-4106.962,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,70,,,,,
SL_FW_Dive_03_17-52-02.051.avi,57362,18:24:35,2:24:35,,,,20.545,4.192,3358.131,9.597,,,-542.578,131.736,-3311.389,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,71,,,,,
SL_FW_Dive_03_17-52-02.051.avi,59265,18:25:39,2:25:38,,,,47.739,7.548,4956.137,14.083,,,-619.194,1025.607,-4809.16,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,72,,,,,
SL_FW_Dive_03_17-52-02.051.avi,60683,18:26:26,2:26:26,,,,36.564,8.848,4270.551,18.947,,,1342.818,337.85,-4039.839,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,73,,,,,
SL_FW_Dive_03_17-52-02.051.avi,61178,18:26:42,2:26:42,,,,37.555,6.548,4618.782,6.668,,,-307.61,430.431,-4588.383,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,74,,,,,
SL_FW_Dive_03_17-52-02.051.avi,61568,18:26:55,2:26:55,,,,34.268,8.632,4372.159,7.599,,,-394.934,413.903,-4334.568,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,tiger,148,148,75,,,,,
SL_FW_Dive_03_17-52-02.051.avi,62136,18:27:14,2:27:14,,,,11.481,6.52,2493.745,8.346,,,325.909,-162.302,-2467.023,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,76,,,,,
SL_FW_Dive_03_17-52-02.051.avi,62522,18:27:27,2:27:27,,,,17.475,2.666,2968.838,26.725,,,-1293.272,-336.746,-2651.047,1,Jenny Stahl,0,,2015,3,1,,,,,,ronquil,ronquil,,,77,,,,,
SL_FW_Dive_03_17-52-02.051.avi,66094,18:29:26,2:29:26,,,,16.883,4.436,3095.457,7.001,,,-60.184,366.505,-3073.094,1,Jenny Stahl,0,,2015,3,1,,,,,,ronquil,ronquil,,,78,,,,,
SL_FW_Dive_03_17-52-02.051.avi,67013,18:29:57,2:29:57,,,,8.522,5.001,2085.149,12.186,,,375.5,-233.553,-2037.719,1,Jenny Stahl,0,,2015,3,1,,,,,,ronquil,ronquil,,,79,,,,,
SL_FW_Dive_03_17-52-02.051.avi,70886,18:32:06,2:32:06,,,,21.049,8.71,3255.419,30.108,,,1588.294,374.107,-2816.935,1,Jenny Stahl,0,,2015,3,1,,,,,,ronquil,ronquil,,,80,,,,,
SL_FW_Dive_03_17-52-02.051.avi,73966,18:33:49,2:33:49,,,,36.2,3.583,4318.629,29.904,,,-2046.871,660.477,-3744.95,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,81,,,,,
SL_FW_Dive_03_17-52-02.051.avi,74221,18:33:57,2:33:57,,,,19.711,2.377,3143.271,30.722,,,1542.238,442.127,-2702.994,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,82,,,,,
SL_FW_Dive_03_17-52-02.051.avi,75270,18:34:32,2:34:32,,,,79.553,0.311,6287.682,25.294,,,715.305,2578.565,-5689.841,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,yelloweye,145,145,83,AD,Fish moving slowly into frame,,,
SL_FW_Dive_03_17-52-02.051.avi,75379,18:34:36,2:34:36,,,728.794,74.566,15.465,6118.581,26.512,11.395,13.706,1721.513,2120.343,-5475.178,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,yelloweye,145,145,83,AD,,,RMS>10mm for length-blurry,
SL_FW_Dive_03_17-52-02.051.avi,77378,18:35:42,2:35:42,,,,48.446,3.689,5081.916,13.979,,,229.328,1196.519,-4933.723,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,84,,,,,
SL_FW_Dive_03_17-52-02.051.avi,79964,18:37:08,2:37:08,,,,36.086,0.128,4184.329,25.818,,,-1620.037,827.152,-3768.276,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,85,,,,,
SL_FW_Dive_03_17-52-02.051.avi,80752,18:37:35,2:37:35,,,,34.233,5.833,4053.127,21.175,,,-1035.867,1027.29,-3781.466,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,86,,,,,
SL_FW_Dive_03_17-52-02.051.avi,82286,18:38:26,2:38:26,,,,19.351,6.239,3131.806,23.673,,,-1240.607,-210.764,-2867.87,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,87,,,,,
