Filename,Frame,Time (HMS),Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Start/End,Comment,Event Time HH:MM:SS,Time (HMS),Actual Time (HMS),Actual Time (AKSTD),Seconds,,
SL_FW_Dive_15_19-49-39.381.avi,7604,3:54:03,,,655,609,QC,Asia,0,,2015,15,13,,,,,,Bad,loitering in same area,BLA,BLA,,,,,,,3:54:03,3:54:03,19:54:03,71643,,
SL_FW_Dive_15_19-49-39.381.avi,7701,3:54:07,,,395,452,QC,Asia,0,,2015,15,13,,,,,,Good,Good Going Forward,GGF,GGF,2,,,,,,3:54:07,3:54:07,19:54:07,71647,,
SL_FW_Dive_15_19-49-39.381.avi,47543,4:16:15,,,637,663,QC,Asia,0,,2015,15,13,,,,,,Bad,lost bottom visual,BLB,BLB,,,,,,,4:16:15,4:16:15,20:16:15,72975,,
SL_FW_Dive_15_19-49-39.381.avi,47633,4:16:18,,,414,674,QC,Asia,0,,2015,15,13,,,,,,Good,Good Going Forward,GGF,GGF,3,,,,,,4:16:18,4:16:18,20:16:18,72978,,
SL_FW_Dive_15_19-49-39.381.avi,71345,4:29:28,,,422,447,QC,Asia,0,,2015,15,13,,,,,,Good,Good Going Forward,GGF,GGF,3,,,End,,,4:29:28,4:29:28,20:29:28,73768,,
SL_FW_Dive_16_06-24-24.026.avi,308,14:24:46,,,337,418,QC,Asia,0,,2015,16,15,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,14:24:46,14:24:46,6:24:46,23086,,
SL_FW_Dive_16_06-24-24.026.avi,32018,14:42:23,,,498,579,QC,Asia,0,,2015,16,15,,,,,,Bad,lost bottom visual,BLB,BLB,,,,,,,14:42:23,14:42:23,6:42:23,24143,,
SL_FW_Dive_16_06-24-24.026.avi,32286,14:42:32,,,428,655,QC,Asia,0,,2015,16,15,,,,,,Good,Good Going Forward,GGF,GGF,2,,,,,,14:42:32,14:42:32,6:42:32,24152,,
SL_FW_Dive_16_06-24-24.026.avi,41302,14:47:32,,,497,830,QC,Asia,0,,2015,16,15,,,,,,Bad,lost bottom visual,BLB,BLB,,,,,,,14:47:32,14:47:32,6:47:32,24452,,
SL_FW_Dive_16_06-24-24.026.avi,41633,14:47:43,,,415,500,QC,Asia,0,,2015,16,15,,,,,,Good,Good Going Forward,GGF,GGF,3,,,,,,14:47:43,14:47:43,6:47:43,24463,,
SL_FW_Dive_16_06-24-24.026.avi,49205,14:51:56,,,496,292,QC,Asia,0,,2015,16,15,,,,,,Good,Good Going Forward,GGF,GGF,3,,,,video skips a second,,14:51:56,14:51:56,6:51:56,24716,,
SL_FW_Dive_16_06-24-24.026.avi,71729,15:04:26,,,497,605,QC,Asia,0,,2015,16,15,,,,,,Bad,repositioned,BRP,BRP,,,,,,,15:04:26,15:04:26,7:04:26,25466,,
SL_FW_Dive_16_06-24-24.026.avi,71930,15:04:33,,,457,636,QC,Asia,0,,2015,16,15,,,,,,Good,Good Going Forward,GGF,GGF,4,,,,,15:04:32,15:04:33,15:04:32,7:04:32,25472,,
SL_FW_Dive_16_06-24-24.026.avi,74893,15:06:12,,,561,734,QC,Asia,0,,2015,16,15,,,,,,Good,Good Going Forward,GGF,GGF,4,,,End,,15:06:11,15:06:12,15:06:11,7:06:11,25571,,
SL_FW_Dive_17_07-40-00.436.avi,945,15:40:43,,,453,710,QC,Asia,0,,2015,17,14,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,fish before head shake,,15:40:43,15:40:43,7:40:43,27643,,
SL_FW_Dive_17_07-40-00.436.avi,20708,15:51:42,,,458,652,QC,Asia,0,,2015,17,14,,,,,,Bad,loitering in same area,BLA,BLA,,,,,,,15:51:42,15:51:42,7:51:42,28302,,
SL_FW_Dive_17_07-40-00.436.avi,20821,15:51:45,,,598,240,QC,Asia,0,,2015,17,14,,,,,,Good,Good Going Forward,GGF,GGF,2,,,,,,15:51:45,15:51:45,7:51:45,28305,,
SL_FW_Dive_17_07-40-00.436.avi,36367,16:00:23,,,442,757,QC,Asia,0,,2015,17,14,,,,,,Bad,going backwards,BGB,BGB,,,,,,,16:00:23,16:00:23,8:00:23,28823,,
SL_FW_Dive_17_07-40-00.436.avi,36647,16:00:33,,,449,530,QC,Asia,0,,2015,17,14,,,,,,Good,Good Going Forward,GGF,GGF,3,,,,,,16:00:33,16:00:33,8:00:33,28833,,
SL_FW_Dive_17_07-40-00.436.avi,47738,16:06:43,,,492,330,QC,Asia,0,,2015,17,14,,,,,,Bad,lost bottom visual,BLB,BLB,,,,,,,16:06:43,16:06:43,8:06:42,29202,,
SL_FW_Dive_17_07-40-00.436.avi,47983,16:06:51,,,399,375,QC,Asia,0,,2015,17,14,,,,,,Good,Good Going Forward,GGF,GGF,4,,,,,,16:06:51,16:06:51,8:06:51,29211,,
SL_FW_Dive_17_07-40-00.436.avi,74198,16:21:25,,,505,484,QC,Asia,0,,2015,17,14,,,,,,Bad,going backwards,BGB,BGB,,,,,,,16:21:25,16:21:25,8:21:24,30084,,
