FILENAME,FRAME,TIME_MINS,PERIOD,PERIOD_TIME_MINS,LENGTH_MM,PRECISION,RMS_1_MM,RMS_2_MM,RANGE_MM,DIRECTION_DEG,HORZ_DIR_DEG,VERT_DIR_DEG,MID_X_MM,MID_Y_MM,MID_Z_MM,OPCODE,TAPE_READER,DEPTH_NOT_USED,TRIP_COMMENT,YEAR,DIVE_NO,TRANSECT_NO,USER_DEF_4,USER_DEF_5,USER_DEF_6,USER_DEF_7,USER_DEF_8,FAMILY,GENUS,SPECIES,CODE,SPECIMEN_NUMBER,STAGE,ACTIVITY,CHECK_ID,SPECIES_COMMENT,USER_DEF_ATTR
2012_6738_1_SL.avi,  30316,33.3088,,,,27,9.241,,3268.874,28.395,,,-1505.441,325.087,-2883.314,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,37,,,,,
2012_6738_1_SL.avi,  30693,33.5184,,,,55,10.529,,4845.713,26.754,,,-1890.034,995.045,-4349.55,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,38,,,,,
2012_6738_1_SL.avi,  32085,34.2925,,,,25,6.875,,3811.994,10.571,,,-462.544,443.147,-3757.788,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,39,,,,,
2012_6738_1_SL.avi,  32616,34.5878,,,,52,7.941,,5153.092,19.716,,,-1189.147,1162.635,-4877.352,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,40,,,,,
2012_6738_1_SL.avi,  17444,26.1505,,,,22,8.877,,3784.716,3.589,,,202.302,41.393,-3779.079,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,41,,,,,
2012_6738_1_SL.avi,  33758,35.2229,,,,32,4.508,,4177.163,16.562,,,1115.502,329.657,-4011.941,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,42,,,,,
2012_6738_1_SL.avi,  36232,36.5987,,,,18,4.654,,3366.665,5.875,,,-49.987,268.319,-3355.583,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,43,,,,,
2012_6738_1_SL.avi,  39138,38.2148,,,,13,0.139,,2616.724,13.925,,,595.834,-258.719,-2534.816,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,44,,,,,
2012_6738_1_SL.avi,  40088,38.7431,,,,13,0.805,,2485.543,19.765,,,-813.584,-261.666,-2333.995,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,45,,,,,
2012_6738_1_SL.avi,  45146,41.5559,,,,16,12.453,,3001.341,14.84,,,173.531,685.817,-2916.777,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,silvergray,157,157,46,,,,,
2012_6738_1_SL.avi,  45974,42.0163,,,,30,4.277,,4229.533,10.839,,,654.49,361.763,-4162.898,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,silvergray,157,157,47,,,,,
2012_6738_1_SL.avi,  45974,42.0163,,,,60,7.205,,5613.651,18.319,,,1450.377,888.987,-5349.69,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,dusky,172,172,48,,,,,
2012_6738_1_SL.avi,  47871,43.0713,,,339.035,33,5.469,4.768,2817.514,17.728,49.057,10.664,561.648,-706.552,-2669.03,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,49,JV,Fish milling,,,
2012_6738_1_SL.avi,  47879,43.0757,,,,15,2.222,,2806.27,17.374,,,469.324,-752.104,-2662.56,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,yelloweye,145,145,49,JV,Fish milling,,,
2012_6738_1_SL.avi,  49193,43.8065,,,,22,4.376,,3211.201,21.64,,,1045.237,-621.136,-2972.117,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,quillback,147,147,50,,,,,
2012_6738_1_SL.avi,  51980,45.3563,,,,59,5.29,,5536.672,18.591,,,-1184.867,1194.361,-5274.877,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,,,,51,,,,,
2012_6738_1_SL.avi,  54968,47.018,,,,43,2.642,,4643.092,19.769,,,-1415.392,585.484,-4383.17,1,Jenny Stahl,0,,2012,6738,1,,,,,,rockfish,rosethorn,150,150,52,,,,,
2012_6738_1_SL.avi,  59070,49.2992,,,,5,3.164,,1585.263,9.91,,,237.62,-167.87,-1558.338,1,Jenny Stahl,0,,2012,6738,1,,,,,,halibut,halibut,200,200,53,,,,,
2012_6738_1_SL.avi,  59070,49.2992,,,446.559,10,5.207,0.167,1734.288,12.355,36.182,36.483,371.066,-32.585,-1693.813,1,Jenny Stahl,0,,2012,6738,1,,,,,,halibut,halibut,200,200,53,,,,,
2012_6738_2_SL.avi,   4525,18.9661,,,,23,1.403,,3210.689,24.118,,,1207.978,-575.178,-2918.644,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,canary,146,146,1,,,,,
2012_6738_2_SL.avi,   4857,19.1508,,,,25,7.311,,3787.963,15.781,,,161.058,938.273,-3666.384,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,canary,146,146,2,,,,,
