"filename","frame","time_akdt","time_hms","period","period_time_hms","length_mm","precision_mm","rms_mm","range_mm","direction_deg","horz_dir_deg","vert_dir_deg","mid_x_mm","mid_y_mm","mid_z_mm","op_code","tape_reader","depth","comment","year","dive_no","transect_no","user_def_4","user_def_5","user_def_6","user_def_7","user_def_8","family","genus","species","code","number","stage","activity","check_id","comment_1","event_time_hh_mm_ss"
"SL_FW_Dive_03_17-52-02.051.avi",19944,"18:03:48","2:03:48",NA,NA,NA,89,6.11,6664.213,15.85,NA,NA,1563.376,919.68,-6412.626,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","tiger",148,148,30,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",20869,"18:04:19","2:04:19",NA,NA,NA,56.572,4.823,5336.793,16.099,NA,NA,-789.813,1241.621,-5129.906,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,31,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",21272,"18:04:32","2:04:32",NA,NA,NA,75.928,9.295,6257.357,22.76,NA,NA,303.655,2390.49,-5774.761,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,32,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",21508,"18:04:40","2:04:40",NA,NA,NA,189.737,3.33,9935.844,31.857,NA,NA,-4807.455,2078.968,-8443.179,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,33,"AD","Fish moving slowly into frame",NA,"no length-can't see tail",NA
"SL_FW_Dive_03_17-52-02.051.avi",21508,"18:04:40","2:04:40",NA,NA,NA,64.701,1.941,5608.866,28.701,NA,NA,-2247.837,1474.711,-4922.584,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","dusky",172,172,34,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",22043,"18:04:58","2:04:58",NA,NA,NA,19.378,4.518,3172.915,17.281,NA,NA,-146.375,925.26,-3031.478,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,35,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",22216,"18:05:04","2:05:04",NA,NA,NA,23.123,1.803,3328.369,21.82,NA,NA,-780.532,953.819,-3091.769,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,36,"","",NA,"",NA
"SL_FW_Dive_03_17-52-02.051.avi",22222,"18:05:04","2:05:04",NA,NA,NA,54.9,0.934,5492.19,31.284,NA,NA,-2815.273,446.953,-4694.531,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,37,"AD","Fish milling/hovering",NA,"not is right stereo; no length",NA
"SL_FW_Dive_03_17-52-02.051.avi",23361,"18:05:42","2:05:42",NA,NA,NA,5.699,3.756,1649.956,26.585,NA,NA,-353.07,-651.373,-1474.249,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"greenling","kelp greenling",194,194,38,"","",NA,"female",NA
"SL_FW_Dive_03_17-52-02.051.avi",25271,"18:06:45","2:06:45",NA,NA,NA,32.154,4.169,4403.446,2.886,NA,NA,175.017,127.632,-4398.115,1,"Jenny Stahl",0,NA,2015,3,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,39,"","",NA,"",NA
