Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS 1 (mm),RMS 2 (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time
2013_4_1_SL.avi,34294,21:19.4,,,,9.086,4.08,,2200.339,13.541,,,-281.688,-455.17,-2134.236,1,Kristen Green,0,old cameras,2013,4,1,,,,,,rockfish,silvergray,157,157,5,,,,,
2013_4_1_SL.avi,38655,23:44.9,,,,24.846,8.731,,3426.015,23.522,,,-1338.512,-314.121,-3138.04,1,Kristen Green,0,old cameras,2013,4,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
2013_4_1_SL.avi,40966,25:02.0,,,,17.035,4.235,,3049.084,13.525,,,427.211,-603.932,-2957.984,1,Kristen Green,0,old cameras,2013,4,1,,,,,,rockfish,yelloweye,145,145,7,AD,resting on bottom,,behind rock; no length ,
2013_4_1_SL.avi,41316,25:13.7,,,,21.18,9.535,,3583.721,8.003,,,495.913,15.2,-3549.21,1,Kristen Green,0,old cameras,2013,4,1,,,,,,rockfish,rosethorn,150,150,8,,,,,
2013_4_1_SL.avi,55473,33:06.1,,,,29.74,6.007,,4144.39,12.183,,,-733.564,431.079,-4056.109,1,Kristen Green,0,old cameras,2013,4,1,,,,,,rockfish,sharpchin,166,166,9,,,,,
2013_5_1_SL.avi,10954,46:09.5,,,,11.28,0.742,,2480.176,12.118,,,-363.741,-399.537,-2420.607,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,ratfish,ratfish,,,1,,,,,
2013_5_1_SL.avi,13916,47:48.3,,,399.159,25.97,1.519,4.109,2407.436,23.223,59.585,29.965,-883.583,-371.675,-2208.367,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,halibut,halibut,200,200,2,,,,,
2013_5_1_SL.avi,13917,47:48.4,,,,12.801,2.138,,2504.173,19.474,,,-793.3,-286.418,-2357.864,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,halibut,halibut,200,200,2,,,,,
2013_5_1_SL.avi,18461,50:20.0,,,,19.962,4.046,,3179.278,19.548,,,-1060.562,-116.178,-2994.916,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,ratfish,ratfish,,,3,,,,,
2013_5_1_SL.avi,22721,52:42.1,,,,7.074,2.013,,1938.813,11.916,,,214.09,-359.374,-1893.148,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,rockfish,greenstripe,,,4,,,,,
2013_5_1_SL.avi,24775,53:50.7,,,,6.903,0.435,,1771.062,23.94,,,-536.994,-495.612,-1613.279,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,flatfish,Dover sole,,,5,,,,,
2013_5_1_SL.avi,27300,55:14.9,,,,14.781,1.846,,2913.389,9.883,,,-482.084,-164.886,-2868.491,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
2013_5_1_SL.avi,39532,02:03.0,,,,18.76,7.208,,3358.247,7.41,,,-236.025,-400.249,-3325.945,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,rockfish,,,,7,,,,Bad Angle Can't Be Identified,
2013_5_1_SL.avi,39870,02:14.3,,,,15.251,3.105,,2959.532,11.651,,,63.285,-626.576,-2891.751,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,rockfish,greenstripe,,,8,,,,,
2013_5_1_SL.avi,45028,05:06.4,,,,14.859,2.711,,2887.967,12.073,,,-274.776,-569.354,-2817.923,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,flatfish,Dover sole,,,9,,,,,
2013_5_1_SL.avi,47016,06:12.8,,,,15.829,4.964,,2701.617,24.321,,,-1083.24,-281.515,-2458.876,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,rockfish,rosethorn,150,150,10,,,,,
2013_5_1_SL.avi,48136,06:50.1,,,,9.541,4.548,,2084.094,23.897,,,-813.846,-245.758,-1902.815,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,ratfish,ratfish,,,11,,,,,
2013_5_1_SL.avi,50970,08:24.7,,,,17.453,7.937,,3251.837,7.402,,,-418.927,-31.528,-3224.585,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,rockfish,rosethorn,150,150,12,,,,,
2013_5_1_SL.avi,51599,08:45.7,,,,13.503,2.981,,2909.092,3.215,,,120.318,77.779,-2905.562,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,ratfish,ratfish,,,13,,,,,
2013_5_1_SL.avi,51912,08:56.1,,,,6.096,8.833,,1769.423,13.084,,,275.419,-310.048,-1720.138,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,flatfish,Dover sole,,,14,,,Y,,
2013_5_1_SL.avi,52279,09:08.4,,,,7.456,2.044,,1904.962,18.272,,,441.695,-422.147,-1804.321,1,Jenny Stahl,0,old cameras,2013,5,1,,,,,,rockfish,rosethorn,150,150,15,,,Y,,
2013_6_1_SL.avi,4084,20:35.3,,,,47.85,6.538,,4845.856,21.088,,,-1656.167,-595.415,-4514.965,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,rosethorn,150,150,1,,,,,
2013_6_1_SL.avi,4570,20:51.5,,,,101.964,5.952,,7009.268,22.353,,,2583.843,-727.712,-6474.877,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,yelloweye,145,145,3,AD,milling,,,
2013_6_1_SL.avi,4599,20:52.5,,,677.941,96.734,3.336,0.99,5577.269,20.659,31.263,27.714,1811.845,-825.691,-5209.739,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,yelloweye,145,145,3,AD,,,Tail bent; Video Quality Bad,
2013_6_1_SL.avi,4620,20:53.2,,,,34.976,3.966,,4023.433,24.793,,,1286.794,-1131.882,-3640.194,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,silvergray,157,157,2,,,,,
2013_6_1_SL.avi,5387,21:18.8,,,,70.319,0.094,,5894.291,21.904,,,-1892.502,1058.601,-5480.918,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,silvergray,157,157,4,,,,,
2013_6_1_SL.avi,6345,21:50.7,,,,25.095,2.971,,3815.837,9.845,,,552.669,-388.691,-3755.541,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
2013_6_1_SL.avi,7057,22:14.5,,,,68.927,4.246,,6724.731,4.207,,,388.555,-378.731,-6702.805,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,yelloweye,145,145,6,AD,milling,,,
2013_6_1_SL.avi,7389,22:25.6,,,589.844,25.093,4.522,6.127,4184.674,9.958,13.947,25.838,269.329,-717.534,-4113.891,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,yelloweye,145,145,6,AD,,,,
2013_6_1_SL.avi,7559,22:31.2,,,,36.473,0.097,,4454.48,14.348,,,-888.801,-702.669,-4307.979,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,rosethorn,150,150,7,,,,,
2013_6_1_SL.avi,9000,23:19.3,,,,18.718,7.827,,3119.779,16.862,,,-620.371,-692.053,-2978.124,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,,10024,10024,8,,,,Maybe YE but under rock Cant ID,
2013_6_1_SL.avi,10155,23:57.8,,,,30.245,0.148,,3749.455,25.826,,,1616.556,196.403,-3377.363,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,silvergray,157,157,9,,,,,
2013_6_1_SL.avi,11392,24:39.1,,,,20.228,3.837,,3093.95,22.402,,,1145.114,-313.044,-2857.139,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,rosethorn,150,150,10,,,,,
2013_6_1_SL.avi,12931,25:30.5,,,,21.9,2.44,,3488.024,12.192,,,587.303,-482.649,-3404.179,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,rosethorn,150,150,11,,,,,
2013_6_1_SL.avi,18258,28:28.2,,,,34.803,4.983,,4196.924,20.61,,,-1097.678,944.948,-3939.08,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,greenling,lingcod,130,130,12,,,,,
2013_6_1_SL.avi,18294,28:29.4,,,,70.502,8.638,,6714.062,8.768,,,275.978,911.491,-6646.175,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,yelloweye,145,145,13,AD,milling,,,
2013_6_1_SL.avi,18327,28:30.5,,,974.952,36.875,0.59,0.26,2754.215,20.031,56.949,26.258,-928.781,136.68,-2589.283,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,greenling,lingcod,130,130,12,,,,Bad Angle For Length,
2013_6_1_SL.avi,18402,28:33.0,,,501.07,40.305,3.099,1.769,5381.445,5.238,14.529,25.131,335.331,299.32,-5362.641,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,yelloweye,145,145,13,AD,,,,
2013_6_1_SL.avi,18429,28:33.9,,,,63.768,8.831,,5870.618,17.085,,,1723.928,-113.684,-5610.642,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,rockfish,rosethorn,150,150,14,,,,,
2013_6_1_SL.avi,19287,29:02.5,,,,25.227,2.993,,3870.011,8.671,,,534.346,-276.878,-3822.93,1,Jenny Stahl,0,old cameras,2013,6,1,,,,,,coral,red tree coral,10001,10001,15,,,,,
