Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2019_EYKT_Dive_14_13-20-25.000.avi,64181,13:56:11,50171,,,584,851,QC,EricaEbert,85,N/A,2019,14,1,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_15_14-25-35.000.avi,149,14:25:42,51942,,,587,852,QC,EricaEbert,75,N/A,2019,15,4,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_15_14-25-35.000.avi,49656,14:53:12,53592,,,587,852,QC,EricaEbert,75,N/A,2019,15,4,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_16_15-38-57.000.avi,103,39:17.4,2357,,,624,886,QC,EricaEbert,85,N/A,2019,16,2,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_16_15-38-57.000.avi,16842,48:35.4,2915,,,614,875,QC,EricaEbert,85,N/A,2019,16,2,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_16_15-38-57.000.avi,17038,48:41.9,2922,,,601,864,QC,EricaEbert,85,N/A,2019,16,2,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_16_15-38-57.000.avi,29059,55:22.6,3323,,,584,854,QC,EricaEbert,85,N/A,2019,16,2,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_16_15-38-57.000.avi,29221,55:28.0,3328,,,599,859,QC,EricaEbert,85,N/A,2019,16,2,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_16_15-38-57.000.avi,45260,04:22.6,263,,,588,855,QC,EricaEbert,85,N/A,2019,16,2,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_16_15-38-57.000.avi,45731,04:38.3,278,,,590,855,QC,EricaEbert,85,N/A,2019,16,2,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_16_15-38-57.000.avi,70887,18:36.9,1117,,,608,873,QC,EricaEbert,85,N/A,2019,16,2,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_17_16-48-44.000.avi,229,16:49:12,60552,,,590,852,QC,EricaEbert,80,N/A,2019,17,3,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_17_16-48-44.000.avi,12990,16:56:17,60977,,,580,854,QC,EricaEbert,80,N/A,2019,17,3,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_17_16-48-44.000.avi,13205,16:56:24,60984,,,591,852,QC,EricaEbert,80,N/A,2019,17,3,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_17_16-48-44.000.avi,21591,17:01:04,61264,,,575,848,QC,EricaEbert,80,N/A,2019,17,3,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_17_16-48-44.000.avi,21890,17:01:14,61274,,,597,864,QC,EricaEbert,80,N/A,2019,17,3,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
