YEAR,DIVE_NO,TRANSECT_NO,Dive_trans,DiveTrans,HP_line,Event_ID,Event_ID,Date,UTC time,Date_time,AST,Sec,QUALITY_CODE,START_END,COMMENTS,Segment
2012,6756,1,67561,67561,29,29_267_o,29_267_o_4,8/22/2012,00:33:17,8/22/12 0:33,16:33:17,59597,GGF,,,4
2012,6756,1,67561,67561,29,29_267_o,29_267_o_4,8/22/2012,00:36:26,8/22/12 0:36,16:36:26,59786,GGF,END,,4
2012,6756,2,67562,67562,30,30_104_o,30_104_o_1,8/22/2012,23:14:13,8/22/12 23:14,15:14:13,54853,GGF,START,,1
2012,6756,2,67562,67562,30,30_104_o,30_104_o_,8/22/2012,23:17:47,8/22/12 23:17,15:17:47,55067,BPV,,,
2012,6756,2,67562,67562,30,30_104_o,30_104_o_2,8/22/2012,23:17:54,8/22/12 23:17,15:17:54,55074,GGF,,,2
2012,6756,2,67562,67562,30,30_104_o,30_104_o_2,8/22/2012,23:39:51,8/22/12 23:39,15:39:51,56391,GGF,END,,2
2012,6757,1,67571,67571,31,31_237_o,31_237_o_1,8/22/2012,02:00:09,8/22/12 2:00,18:00:09,64809,GGF,START,,1
2012,6757,1,67571,67571,31,31_237_o,31_237_o_1,8/22/2012,02:22:03,8/22/12 2:22,18:22:03,66123,GGF,END,,1
2012,6757,2,67572,67572,32,32_236_o,32_236_o_1,8/22/2012,01:15:00,8/22/12 1:15,17:15:00,62100,GGF,START,,1
2012,6757,2,67572,67572,32,32_236_o,32_236_o_,8/22/2012,01:16:20,8/22/12 1:16,17:16:20,62180,BPV,,,
2012,6757,2,67572,67572,32,32_236_o,32_236_o_2,8/22/2012,01:16:32,8/22/12 1:16,17:16:32,62192,GGF,,,2
2012,6757,2,67572,67572,32,32_236_o,32_236_o_,8/22/2012,01:41:49,8/22/12 1:41,17:41:49,63709,BBS,,,
2012,6757,2,67572,67572,32,32_236_o,32_236_o_3,8/22/2012,01:41:51,8/22/12 1:41,17:41:51,63711,GGF,,,3
2012,6757,2,67572,67572,32,32_236_o,32_236_o_,8/22/2012,01:43:53,8/22/12 1:43,17:43:53,63833,BDO,,,
2012,6757,2,67572,67572,32,32_236_o,32_236_o_4,8/22/2012,01:43:59,8/22/12 1:43,17:43:59,63839,GGF,,,4
2012,6757,2,67572,67572,32,32_236_o,32_236_o_4,8/22/2012,01:53:43,8/22/12 1:53,17:53:43,64423,GGF,END,,4
2012,6758,1,67581,67581,33,33_217_o,33_217_o_1,8/23/2012,15:33:45,8/23/12 15:33,7:33:45,27225,GGF,START,,1
2012,6758,1,67581,67581,33,33_217_o,33_217_o_,8/23/2012,15:43:22,8/23/12 15:43,7:43:22,27802,BDO,,,
2012,6758,1,67581,67581,33,33_217_o,33_217_o_2,8/23/2012,15:43:52,8/23/12 15:43,7:43:52,27832,GGF,,,2
2012,6758,1,67581,67581,33,33_217_o,33_217_o_,8/23/2012,16:07:59,8/23/12 16:07,8:07:59,29279,BLB,,,
2012,6758,1,67581,67581,33,33_217_o,33_217_o_3,8/23/2012,16:08:06,8/23/12 16:08,8:08:06,29286,GGF,,,3
2012,6758,1,67581,67581,33,33_217_o,33_217_o_3,8/23/2012,16:12:00,8/23/12 16:12,8:12:00,29520,GGF,END,,3
2012,6758,2,67582,67582,34,34_204_o,34_204_o_1,8/23/2012,16:24:19,8/23/12 16:24,8:24:19,30259,GGF,START,,1
2012,6758,2,67582,67582,34,34_204_o,34_204_o_,8/23/2012,16:30:07,8/23/12 16:30,8:30:07,30607,BDO,,,
2012,6758,2,67582,67582,34,34_204_o,34_204_o_2,8/23/2012,16:30:19,8/23/12 16:30,8:30:19,30619,GGF,,,2
2012,6758,2,67582,67582,34,34_204_o,34_204_o_,8/23/2012,16:31:05,8/23/12 16:31,8:31:05,30665,BDO,,,
2012,6758,2,67582,67582,34,34_204_o,34_204_o_3,8/23/2012,16:31:41,8/23/12 16:31,8:31:41,30701,GGF,,,3
2012,6758,2,67582,67582,34,34_204_o,34_204_o_3,8/23/2012,16:54:03,8/23/12 16:54,8:54:03,32043,GGF,END,,3
2012,6759,1,67591,67591,35,35_229_o,35_229_o_1,8/23/2012,02:56:52,8/23/12 2:56,18:56:52,68212,GGF,START,,1
