Dive_Id,Date,Time_AKDT,TC (UTC),UTC time,,Start_End,Comments,YE cnt,Jenny comments
,,11:31:08,19:31:08:06,19:31:08,,,"lc2, 4 ye, 2jye",4,
,,11:31:59,19:31:59:13,19:31:59,,,2 ye,2,
,,11:32:20,19:32:20:19,19:32:20,,,lc,,
,,11:33:01,19:33:01:02,19:33:01,,,ye,1,
,,11:37:05,19:37:05:01,19:37:05,,E,,,
,,,,,,,,,
eykt_17,5/12/2017,12:09:02,20:09:02:29,20:09:02,,S,,,
,,12:09:47,20:09:47:08,20:09:47,,,lc,,
,,12:10:45,20:10:45:07,20:10:45,,,ye,1,
,,12:22:54,20:22:54:14,20:22:54,,,ye,1,
,,12:35:08,20:35:08:08,20:35:08,,,jye,,
,,12:39:25,20:39:25:09,20:39:25,,,tiger,,
,,12:41:08,20:41:08:00,20:41:08,,E,,,
,,,,,,,,,
eykt_18,5/15/2017,11:48:22,19:48:22:09,19:48:22,,S,,,
,,11:50:44,19:50:44:20,19:50:44,,,2 halibut ,,
,,11:54:23,19:54:23:10,19:54:23,,,small halibut,,
,,11:56:12,19:56:12:06,19:56:12,,,halibut,,
,,12:00:37,20:00:37:05,20:00:37,,,halibut,,
,,12:06:08,20:06:08:15,20:06:08,,,halibut,,
,,12:10:29,20:10:29:29,20:10:29,,,burrow (sp?),,
,,12:13:24,20:13:24:18,20:13:24,,,lc,,
,,12:15:30,20:15:30:21,20:15:30,,,burrow,,
,,12:17:29,20:17:29:08,20:17:29,,,lc,,
,,12:19:31,20:19:31:07,20:19:31,,,halibut?,,
,,12:21:20,20:21:20:20,20:21:20,,E,,,
,,,,,,,,,
eykt_19,5/15/2017,14:23:20,22:23:20:12,22:23:20,,S,,,
,,14:26:49,22:26:49:20,22:26:49,,,jye,,
,,14:29:25,22:29:25:16,22:29:25,,,ye,1,I think this is a rosethorn
,,14:30:43,22:30:43:20,22:30:43,,,ye,1,
,,14:34:28,22:34:28:17,22:34:28,,,lc,,
,,14:35:44,22:35:44:17,22:35:44,,,lc,,
