Event_ID,DIVE_NO,TRANSECT_NO,HORITA_CODE,TIME_UTC,Time_AK,DROP_FRAME,QUALITY_CODE,SEGMENT_NO,START_END,COMMENTS
13_135,13,1,16:02:43:29,16:02:43,08:02:43,29,BLA,,,
13_135,13,1,16:03:07:10,16:03:07,08:03:07,10,GGF,2,,
13_135,13,1,16:04:15:03,16:04:15,08:04:15,03,BPV,,,
13_135,13,1,16:04:24:23,16:04:24,08:04:24,23,GGF,3,,
13_135,13,1,16:08:26:17,16:08:26,08:08:26,17,BPV,,,
13_135,13,1,16:08:38:02,16:08:38,08:08:38,02,GGF,4,,
13_135,13,1,16:35:49:13,16:35:49,08:35:49,13,BPV,,,
13_135,13,1,16:36:16:24,16:36:16,08:36:16,24,GGF,5,,
13_135,13,1,16:37:19:29,16:37:19,08:37:19,29,BPV,,,
13_135,13,1,16:37:40:20,16:37:40,08:37:40,20,GGF,6,,
13_135,13,1,16:39:36:07,16:39:36,08:39:36,07,BLB,,,
13_135,13,1,16:49:48:09,16:49:48,08:49:48,09,GGF,7,,
13_135,13,1,16:53:58:18,16:53:58,08:53:58,18,GGF,7,End,
14_135,14,1,17:40:07:07,17:40:07,09:40:07,07,GGF,1,Start,
14_135,14,1,18:11:48:24,18:11:48,10:11:48,24,GGF,1,End,
15_90,15,1,19:04:03:25,19:04:03,11:04:03,25,GGF,1,Start,
15_90,15,1,19:42:21:03,19:42:21,11:42:21,03,GGF,1,End,
25_135,25,1,13:26:34:17,13:26:34,05:26:34,17,GGF,1,Start,video jumps from 13:24:28 to 13:26:32. Dive log says dive began at 13:25 so I think we missed head shake when video jumped. Calling start 13:26:32
25_135,25,1,13:54:33:04,13:54:33,05:54:33,04,BLB,,,
25_135,25,1,13:54:41:21,13:54:41,05:54:41,21,GGF,2,,
25_135,25,1,13:55:40:16,13:55:40,05:55:40,16,BLB,,,
25_135,25,1,13:56:10:27,13:56:10,05:56:10,27,GGF,3,,
25_135,25,1,14:13:09:07,14:13:09,06:13:09,07,GGF,3,End,
27_0,27,1,15:55:03:16,15:55:03,07:55:03,16,GGF,1,Start,"no head shake to start, cameras were started late"
27_0,27,1,16:29:02:08,16:29:02,08:29:02,08,GGF,1,End,
29_0,29,1,17:58:54:07,17:58:54,09:58:54,07,GGF,1,Start,
29_0,29,1,18:13:12:02,18:13:12,10:13:12,02,BPV,,,
29_0,29,1,18:13:19:29,18:13:19,10:13:19,29,GGF,2,,
29_0,29,1,18:36:59:14,18:36:59,10:36:59,14,GGF,2,End,
